Symbol	EndDate	StateTypeCode	Area	ApplyTypeCode	ApplyType	Patents	Invention	UtilityModel	Design
601238	2015-12-31	1	1	S5203	已授权	361	31	182	148
601288	2015-12-31	1	1	S5203	已授权	31			
601313	2015-12-31	1	1	S5203	已授权	159			
601313	2015-12-31	1	1	S5201	已申请		2		
601339	2015-12-31	1	1	S5203	已授权	7	3	4	0
601369	2015-12-31	1	1	S5201	已申请	5			
601369	2015-12-31	1	1	S5203	已授权	4			
601390	2015-12-31	1	1	S5204	截至报告期末累计获得	4956	1292		
601390	2015-12-31	1	1	S5203	已授权	1039	336		
601515	2015-12-31	1	1	S5206	截止报告期末累计已授权	133	29	104	0
601515	2015-12-31	1	1	S5203	已授权	51	10	41	0
601558	2015-12-31	1	1	S5203	已授权		59		
601558	2015-12-31	1	2	S5203	已授权		1		
601558	2015-12-31	1	1	S5201	已申请	8	3		
601599	2015-12-31	1	1	S5202	已获得		1		
601599	2015-12-31	1	1	S5204	截至报告期末累计获得		4	3	
601600	2015-12-31	1	1	S5204	截至报告期末累计获得		1716		
601607	2015-12-31	1	1	S5204	截至报告期末累计获得		267		
601607	2015-12-31	1	1	S5201	已申请		110		
601607	2015-12-31	1	1	S5203	已授权		51		
601608	2015-12-31	1	1	S5204	截至报告期末累计获得	438	136		
601608	2015-12-31	1	1	S5203	已授权	82	34		
601618	2015-12-31	1	1	S5204	截至报告期末累计获得	16406	3656		
601633	2015-12-31	1	1	S5205	截止报告期末累计已被受理	5333			
601633	2015-12-31	1	1	S5206	截止报告期末累计已授权	3937			
601668	2015-12-31	1	1	S5204	截至报告期末累计获得	2723			
601669	2015-12-31	1	1	S5206	截止报告期末累计已授权	1200	226		
601678	2015-12-31	1	1	S5203	已授权		3		
601718	2015-12-31	1	1	S5201	已申请	623	143		
601718	2015-12-31	1	1	S5203	已授权	505	66		
601718	2015-12-31	1	1	S5206	截止报告期末累计已授权	2375	241		
601766	2015-12-31	1	1	S5203	已授权	3188	1006		
601766	2015-12-31	1	2	S5201	已申请	158			
601766	2015-12-31	1	2	S5203	已授权	23			
601777	2015-12-31	1	1	S5202	已获得	183	95		
601777	2015-12-31	1	1	S5204	截至报告期末累计获得	2375	558		
601789	2015-12-31	1	1	S5202	已获得		10	9	
601789	2015-12-31	1	1	S5204	截至报告期末累计获得	112	26		
601857	2015-12-31	1	1	S5202	已获得	2505			
601857	2015-12-31	1	1	S5204	截至报告期末累计获得	9400			
601877	2015-12-31	1	1	S5202	已获得	240			
601886	2015-12-31	1	1	S5202	已获得	96			
601886	2015-12-31	1	1	S5204	截至报告期末累计获得	428			
601898	2015-12-31	1	1	S5203	已授权	335			
601898	2015-12-31	1	1	S5204	截至报告期末累计获得	1177			
601899	2015-12-31	1	1	S5201	已申请	16			
601899	2015-12-31	1	1	S5203	已授权	9	9		
601918	2015-12-31	1	1	S5204	截至报告期末累计获得	70			
601958	2015-12-31	1	1	S5203	已授权	46			
601989	2015-12-31	1	1	S5201	已申请	810			
601989	2015-12-31	1	1	S5202	已获得	590	241		
601989	2015-12-31	1	1	S5204	截至报告期末累计获得	2776			
601991	2015-12-31	1	1	S5203	已授权	276	50		
601992	2015-12-31	1	1	S5202	已获得	109			
601996	2015-12-31	1	1	S5204	截至报告期末累计获得	20			
603001	2015-12-31	1	1	S5202	已获得			5	
603002	2015-12-31	1	1	S5201	已申请		1		
603002	2015-12-31	1	1	S5202	已获得		2		
603005	2015-12-31	1	1	S5206	截止报告期末累计已授权	96			
603005	2015-12-31	1	1	S5205	截止报告期末累计已被受理	101			
603005	2015-12-31	1	2	S5206	截止报告期末累计已授权	43			
603005	2015-12-31	1	2	S5205	截止报告期末累计已被受理	123			
603005	2015-12-31	1	1	S5203	已授权	46			
603005	2015-12-31	1	1	S5201	已申请	42			
603008	2015-12-31	1	1	S5204	截至报告期末累计获得	291	9		
603008	2015-12-31	1	2	S5204	截至报告期末累计获得	5			
603011	2015-12-31	1	1	S5204	截至报告期末累计获得	162	25	136	1
603012	2015-12-31	1	1	S5204	截至报告期末累计获得	84			
603012	2015-12-31	1	1	S5201	已申请	16			
603012	2015-12-31	1	1	S5203	已授权	10	5		
603015	2015-12-31	1	1	S5204	截至报告期末累计获得	90	11		
603017	2015-12-31	1	1	S5202	已获得	43			
603017	2015-12-31	1	1	S5206	截止报告期末累计已授权	128	9	119	0
603018	2015-12-31	1	1	S5202	已获得	44	9		
603019	2015-12-31	1	1	S5205	截止报告期末累计已被受理	1604	1252		
603019	2015-12-31	1	1	S5206	截止报告期末累计已授权	564	243		
603019	2015-12-31	1	1	S5201	已申请	264	223		
603019	2015-12-31	1	1	S5203	已授权	89	75		
603020	2015-12-31	1	1	S5201	已申请		4		
603020	2015-12-31	1	1	S5202	已获得		6		
603020	2015-12-31	1	2	S5204	截至报告期末累计获得		2		
603020	2015-12-31	1	1	S5204	截至报告期末累计获得		32	1	
603021	2015-12-31	1	1	S5204	截至报告期末累计获得	45	3	7	35
603023	2015-12-31	1	1	S5202	已获得	8	0	6	2
603066	2015-12-31	1	1	S5204	截至报告期末累计获得	41	1		
603085	2015-12-31	1	1	S5202	已获得	8	1	4	3
603088	2015-12-31	1	1	S5204	截至报告期末累计获得	57	13		
603088	2015-12-31	1	1	S5202	已获得		4	5	
603100	2015-12-31	1	1	S5203	已授权	98	15		
603100	2015-12-31	1	1	S5204	截至报告期末累计获得	450	83		
603111	2015-12-31	1	1	S5202	已获得	14	1		
603111	2015-12-31	1	1	S5201	已申请	2	2		
603111	2015-12-31	1	1	S5204	截至报告期末累计获得	313	58		
603118	2015-12-31	1	1	S5204	截至报告期末累计获得	438	132		
603118	2015-12-31	1	1	S5205	截止报告期末累计已被受理	552			
603126	2015-12-31	1	1	S5201	已申请	18			
603126	2015-12-31	1	1	S5203	已授权	17	2		
603166	2015-12-31	1	1	S5204	截至报告期末累计获得	58			
603166	2015-12-31	1	1	S5201	已申请	17	5		
603168	2015-12-31	1	1	S5203	已授权			1	
603168	2015-12-31	1	1	S5201	已申请		1		
603168	2015-12-31	1	1	S5204	截至报告期末累计获得	14	6	1	7
002385	2015-12-31	1	1	S5204	截至报告期末累计获得	500			
002385	2015-12-31	1	1	S5206	截止报告期末累计已授权	241			
002385	2015-12-31	1	1	S5201	已申请	83	52	20	11
002386	2015-12-31	1	1	S5203	已授权	15			
002386	2015-12-31	1	1	S5201	已申请	25			
002391	2015-12-31	1	1	S5204	截至报告期末累计获得		18	13	
002391	2015-12-31	1	1	S5203	已授权		5	7	
002392	2015-12-31	1	1	S5206	截止报告期末累计已授权	81	11		
002394	2015-12-31	1	1	S5201	已申请		10	6	
002394	2015-12-31	1	1	S5203	已授权		8	6	
002395	2015-12-31	1	1	S5203	已授权			6	
002395	2015-12-31	1	1	S5201	已申请		8		
002396	2015-12-31	1	1	S5201	已申请	467	394		
002396	2015-12-31	1	1	S5204	截至报告期末累计获得	1215			
002398	2015-12-31	1	1	S5201	已申请	44	30	14	0
002398	2015-12-31	1	1	S5203	已授权	24			
002398	2015-12-31	1	1	S5206	截止报告期末累计已授权	75			
002399	2015-12-31	1	1	S5201	已申请	9			
002399	2015-12-31	1	1	S5203	已授权	9			
002401	2015-12-31	1	1	S5201	已申请	13	7	6	0
002401	2015-12-31	1	1	S5202	已获得	10	1	9	0
002401	2015-12-31	1	1	S5204	截至报告期末累计获得	23	5	18	0
002402	2015-12-31	1	1	S5205	截止报告期末累计已被受理	519	238	231	50
002402	2015-12-31	1	2	S5205	截止报告期末累计已被受理	24			
002402	2015-12-31	1	1	S5201	已申请	28	5	5	18
002402	2015-12-31	1	1	S5202	已获得	11	1	4	6
002402	2015-12-31	1	1	S5204	截至报告期末累计获得	423	152	228	43
002403	2015-12-31	1	1	S5201	已申请	170	7	36	127
002403	2015-12-31	1	1	S5202	已获得	213	11	35	167
002403	2015-12-31	1	1	S5203	已授权	154	7		
002403	2015-12-31	1	1	S5204	截至报告期末累计获得	1943	47	579	1317
002404	2015-12-31	1	1	S5201	已申请	4	1	3	0
002404	2015-12-31	1	1	S5202	已获得	2	1	1	0
002404	2015-12-31	1	1	S5204	截至报告期末累计获得	51	10	24	17
002406	2015-12-31	1	1	S5201	已申请	31	2		
002406	2015-12-31	1	1	S5203	已授权	31	4	27	0
002406	2015-12-31	1	1	S5206	截止报告期末累计已授权	198	14	159	25
002407	2015-12-31	1	1	S5201	已申请	17			
002407	2015-12-31	1	1	S5203	已授权	18			
002407	2015-12-31	1	1	S5205	截止报告期末累计已被受理	242			
002407	2015-12-31	1	1	S5206	截止报告期末累计已授权	172			
002409	2015-12-31	1	1	S5202	已获得		6		
002412	2015-12-31	1	1	S5201	已申请		4		
002412	2015-12-31	1	1	S5203	已授权		1		
002414	2015-12-31	1	1	S5201	已申请	25	14	9	2
002414	2015-12-31	1	1	S5202	已获得	24	11	9	4
002414	2015-12-31	1	1	S5204	截至报告期末累计获得	127	45	60	22
002417	2015-12-31	1	1	S5201	已申请	16	9	5	2
002417	2015-12-31	1	1	S5202	已获得	11	4	5	2
002417	2015-12-31	1	1	S5204	截至报告期末累计获得	28	11	15	2
002418	2015-12-31	1	1	S5203	已授权	29	8		
002418	2015-12-31	1	1	S5201	已申请	24			
002420	2015-12-31	1	1	S5202	已获得	26	1	11	14
002421	2015-12-31	1	1	S5201	已申请	44	22	17	5
002421	2015-12-31	1	1	S5202	已获得		6	11	
002422	2015-12-31	1	1	S5204	截至报告期末累计获得	1956	219	1430	307
002424	2015-12-31	1	1	S5201	已申请		9		
002424	2015-12-31	1	2	S5201	已申请		1		
002424	2015-12-31	1	1	S5202	已获得		4		
002424	2015-12-31	1	1	S5204	截至报告期末累计获得	135	45	29	61
002426	2015-12-31	1	1	S5202	已获得	227	33	182	12
002426	2015-12-31	1	1	S5203	已授权	25	5	19	1
002427	2015-12-31	1	1	S5201	已申请	9			
002427	2015-12-31	1	1	S5203	已授权	2			
002428	2015-12-31	1	1	S5204	截至报告期末累计获得	53	19		
002431	2015-12-31	1	1	S5201	已申请	21			
002431	2015-12-31	1	1	S5203	已授权	8			
002432	2015-12-31	1	1	S5204	截至报告期末累计获得	126	19	23	84
002434	2015-12-31	1	1	S5201	已申请	67	14	47	6
002434	2015-12-31	1	1	S5202	已获得	52	3	43	6
002434	2015-12-31	1	1	S5204	截至报告期末累计获得	141	9	114	18
002435	2015-12-31	1	1	S5204	截至报告期末累计获得	45	11	22	12
002436	2015-12-31	1	1	S5201	已申请	222	122	99	1
002436	2015-12-31	1	1	S5202	已获得	88	5	83	0
002436	2015-12-31	1	1	S5204	截至报告期末累计获得	143	8	135	0
002436	2015-12-31	1	1	S5205	截止报告期末累计已被受理	335	166		
002436	2015-12-31	1	1	S5206	截止报告期末累计已授权	143			
002440	2015-12-31	1	1	S5201	已申请		34	1	
002440	2015-12-31	1	1	S5203	已授权		21		
002440	2015-12-31	1	1	S5205	截止报告期末累计已被受理		70	1	
002440	2015-12-31	1	1	S5206	截止报告期末累计已授权		109	6	
002442	2015-12-31	1	1	S5203	已授权	9	6	3	0
002443	2015-12-31	1	1	S5203	已授权	20	9		
002443	2015-12-31	1	1	S5201	已申请	20	7		
002444	2015-12-31	1	1	S5201	已申请	168			
002444	2015-12-31	1	1	S5203	已授权	107			
002445	2015-12-31	1	1	S5201	已申请		23	31	
002445	2015-12-31	1	1	S5204	截至报告期末累计获得	74	9	64	1
002448	2015-12-31	1	1	S5205	截止报告期末累计已被受理	205			
002448	2015-12-31	1	1	S5206	截止报告期末累计已授权	170	26	132	12
002448	2015-12-31	1	1	S5201	已申请	53	21	30	2
002448	2015-12-31	1	1	S5202	已获得	44	9	33	2
002448	2015-12-31	1	1	S5204	截至报告期末累计获得	170	26	132	12
002449	2015-12-31	1	1	S5205	截止报告期末累计已被受理	314	44		
002449	2015-12-31	1	2	S5205	截止报告期末累计已被受理	23	15		
002449	2015-12-31	1	1	S5206	截止报告期末累计已授权	278	29		
002449	2015-12-31	1	2	S5206	截止报告期末累计已授权	15	8		
002449	2015-12-31	1	1	S5201	已申请	40	5	27	8
002449	2015-12-31	1	2	S5201	已申请	2			
002452	2015-12-31	1	1	S5201	已申请	26	10	16	0
002452	2015-12-31	1	1	S5202	已获得	19	3	16	0
002452	2015-12-31	1	1	S5204	截至报告期末累计获得	50	7	43	0
002454	2015-12-31	1	1	S5201	已申请		6	23	
002454	2015-12-31	1	1	S5203	已授权		11	15	
002454	2015-12-31	1	1	S5204	截至报告期末累计获得		26	112	
002456	2015-12-31	1	1	S5205	截止报告期末累计已被受理	1645			
002456	2015-12-31	1	2	S5205	截止报告期末累计已被受理	458			
002456	2015-12-31	1	1	S5206	截止报告期末累计已授权	852			
002456	2015-12-31	1	2	S5206	截止报告期末累计已授权	313			
002457	2015-12-31	1	1	S5204	截至报告期末累计获得	35	4	31	0
002459	2015-12-31	1	1	S5204	截至报告期末累计获得	75			
002459	2015-12-31	1	1	S5205	截止报告期末累计已被受理		12	2	
002460	2015-12-31	1	1	S5201	已申请	18	9	9	0
002460	2015-12-31	1	1	S5203	已授权	13	4	9	0
002460	2015-12-31	1	2	S5205	截止报告期末累计已被受理	61			
002460	2015-12-31	1	1	S5206	截止报告期末累计已授权		28	22	
002461	2015-12-31	1	1	S5201	已申请	16			
002461	2015-12-31	1	1	S5203	已授权	24	4		
002463	2015-12-31	1	1	S5202	已获得		1		
002465	2015-12-31	1	1	S5203	已授权	169	23	46	100
002466	2015-12-31	1	1	S5202	已获得	5	4	1	0
002466	2015-12-31	1	1	S5204	截至报告期末累计获得	71	26	7	38
002467	2015-12-31	1	1	S5201	已申请	1	1	0	0
002467	2015-12-31	1	1	S5202	已获得	2	2	0	0
002467	2015-12-31	1	1	S5204	截至报告期末累计获得	5	5	0	0
002468	2015-12-31	1	1	S5201	已申请	36	11		
002468	2015-12-31	1	1	S5204	截至报告期末累计获得	116	10		
002468	2015-12-31	1	2	S5205	截止报告期末累计已被受理	67	54		
002469	2015-12-31	1	1	S5203	已授权	2			
002469	2015-12-31	1	1	S5204	截至报告期末累计获得	46	13	33	0
002469	2015-12-31	1	1	S5201	已申请		4		
002469	2015-12-31	1	1	S5202	已获得		6	1	
002470	2015-12-31	1	1	S5204	截至报告期末累计获得	201			
002474	2015-12-31	1	1	S5202	已获得	8			
002474	2015-12-31	1	1	S5204	截至报告期末累计获得	24	11	9	4
002474	2015-12-31	1	2	S5205	截止报告期末累计已被受理		29		
002475	2015-12-31	1	1	S5201	已申请	225			
002475	2015-12-31	1	1	S5203	已授权	185			
002476	2015-12-31	1	1	S5201	已申请	4			
002476	2015-12-31	1	1	S5203	已授权	1			
002476	2015-12-31	1	1	S5204	截至报告期末累计获得	15			
002479	2015-12-31	1	1	S5204	截至报告期末累计获得		8	22	
002483	2015-12-31	1	1	S5206	截止报告期末累计已授权	307			
002483	2015-12-31	1	1	S5203	已授权	64			
002485	2015-12-31	1	1	S5201	已申请	7	0	0	7
002485	2015-12-31	1	1	S5202	已获得	6	0	0	6
002485	2015-12-31	1	1	S5204	截至报告期末累计获得	26	0	20	6
002487	2015-12-31	1	1	S5201	已申请		2	12	
002487	2015-12-31	1	1	S5202	已获得			11	
002491	2015-12-31	1	1	S5206	截止报告期末累计已授权	312	32		
002491	2015-12-31	1	1	S5203	已授权	43	2		
002494	2015-12-31	1	1	S5201	已申请	19	6	8	5
002494	2015-12-31	1	1	S5202	已获得	14	1	8	5
002494	2015-12-31	1	1	S5204	截至报告期末累计获得	14	1	8	5
002495	2015-12-31	1	1	S5203	已授权	1	1	0	0
002495	2015-12-31	1	1	S5201	已申请	1	1	0	0
002495	2015-12-31	1	1	S5202	已获得	16	1	3	12
002495	2015-12-31	1	1	S5204	截至报告期末累计获得	20	4	4	12
002496	2015-12-31	1	1	S5201	已申请		11		
002496	2015-12-31	1	1	S5203	已授权		6		
002497	2015-12-31	1	1	S5203	已授权	39	13		
002497	2015-12-31	1	1	S5204	截至报告期末累计获得	185	27	137	21
002499	2015-12-31	1	1	S5203	已授权	8			
002499	2015-12-31	1	1	S5206	截止报告期末累计已授权	84			
002501	2015-12-31	1	1	S5201	已申请		2		
002508	2015-12-31	1	1	S5201	已申请		22		
002508	2015-12-31	1	1	S5202	已获得		2		
002509	2015-12-31	1	1	S5201	已申请	16			
002509	2015-12-31	1	1	S5203	已授权	19	3	16	0
002510	2015-12-31	1	1	S5204	截至报告期末累计获得	136	19	117	0
002518	2015-12-31	1	1	S5206	截止报告期末累计已授权	159			
002518	2015-12-31	1	1	S5201	已申请	13	4	6	3
002518	2015-12-31	1	1	S5202	已获得	18	3	10	5
002519	2015-12-31	1	1	S5204	截至报告期末累计获得		21		
002521	2015-12-31	1	1	S5201	已申请	6			
002521	2015-12-31	1	1	S5203	已授权		2		
002522	2015-12-31	1	1	S5202	已获得	3	3	0	0
002522	2015-12-31	1	1	S5204	截至报告期末累计获得	18	4	14	0
002523	2015-12-31	1	1	S5201	已申请		6		
002527	2015-12-31	1	1	S5204	截至报告期末累计获得	244	64	139	41
002528	2015-12-31	1	1	S5201	已申请		10	4	
002529	2015-12-31	1	1	S5201	已申请	196	96	76	24
002529	2015-12-31	1	1	S5203	已授权	117	35	67	15
002530	2015-12-31	1	1	S5201	已申请	40	20	20	0
002530	2015-12-31	1	1	S5202	已获得	25	10	15	0
002530	2015-12-31	1	1	S5204	截至报告期末累计获得	71	22	49	0
002532	2015-12-31	1	1	S5203	已授权	21	1	4	16
002533	2015-12-31	1	1	S5203	已授权	36	2	34	0
002534	2015-12-31	1	1	S5201	已申请	46	15	31	0
002534	2015-12-31	1	1	S5202	已获得	44	14	30	0
002534	2015-12-31	1	1	S5204	截至报告期末累计获得	165	47	118	0
002535	2015-12-31	1	1	S5201	已申请	9	1	7	1
002535	2015-12-31	1	1	S5202	已获得	8	0	7	1
002535	2015-12-31	1	1	S5204	截至报告期末累计获得	80	4	73	3
600062	2015-12-31	1	1	S5202	已获得		9	5	
600064	2015-12-31	1	1	S5202	已获得		1		
600066	2015-12-31	2	1	S5204	截至报告期末累计获得	910	44		
600066	2015-12-31	2	1	S5201	已申请	438	114		
600066	2015-12-31	2	1	S5203	已授权	310	23		
600068	2015-12-31	1	1	S5201	已申请	40	8	32	0
600068	2015-12-31	1	2	S5201	已申请	2			
600068	2015-12-31	1	1	S5203	已授权	33	3	29	1
600068	2015-12-31	1	1	S5206	截止报告期末累计已授权	1172	82		
600081	2015-12-31	1	1	S5202	已获得	86	2	66	18
600089	2015-12-31	1	1	S5204	截至报告期末累计获得	780			
600089	2015-12-31	1	2	S5204	截至报告期末累计获得		14		
600089	2015-12-31	1	1	S5202	已获得	139			
600100	2015-12-31	1	1	S5202	已获得	278	146	104	28
600100	2015-12-31	1	1	S5205	截止报告期末累计已被受理	2544			
600100	2015-12-31	1	1	S5204	截至报告期末累计获得	1625	581	913	131
600105	2015-12-31	1	1	S5203	已授权	150	21		
600112	2015-12-31	1	1	S5201	已申请	3	1	2	0
600112	2015-12-31	1	1	S5202	已获得	39	7		
600120	2015-12-31	1	1	S5202	已获得	6	1		
600139	2015-12-31	1	1	S5204	截至报告期末累计获得	100			
600141	2015-12-31	1	1	S5203	已授权	38			
600141	2015-12-31	1	1	S5204	截至报告期末累计获得	144			
600143	2015-12-31	1	1	S5205	截止报告期末累计已被受理	1824			
600143	2015-12-31	1	2	S5205	截止报告期末累计已被受理		39		
600151	2015-12-31	1	1	S5201	已申请	78	29		
600151	2015-12-31	1	2	S5201	已申请		2		
600151	2015-12-31	1	1	S5203	已授权	61	9		
600152	2015-12-31	1	1	S5203	已授权	56	8	22	26
600160	2015-12-31	1	1	S5201	已申请		13	7	
600165	2015-12-31	1	1	S5202	已获得	14	8	5	1
600165	2015-12-31	1	1	S5201	已申请	4			
600169	2015-12-31	1	1	S5201	已申请	132	95		
600169	2015-12-31	1	1	S5203	已授权	73	55		
600171	2015-12-31	1	1	S5205	截止报告期末累计已被受理	532			
600171	2015-12-31	1	1	S5206	截止报告期末累计已授权	332	144		
600171	2015-12-31	1	1	S5201	已申请	42	30		
600171	2015-12-31	1	1	S5203	已授权	32	18		
600172	2015-12-31	1	1	S5203	已授权	81			
600176	2015-12-31	1	1	S5201	已申请	87	27	60	0
600176	2015-12-31	1	2	S5201	已申请		3		
600176	2015-12-31	1	1	S5203	已授权	76	14	62	0
600176	2015-12-31	1	2	S5203	已授权		1		
600176	2015-12-31	1	1	S5206	截止报告期末累计已授权	428	51		
600176	2015-12-31	1	2	S5206	截止报告期末累计已授权		6		
600184	2015-12-31	1	1	S5201	已申请	17			
600184	2015-12-31	1	1	S5203	已授权	25	13	12	0
600192	2015-12-31	1	1	S5203	已授权	37	5		
600196	2015-12-31	1	1	S5201	已申请	74			
600196	2015-12-31	1	2	S5201	已申请		15		
600196	2015-12-31	1	1	S5203	已授权	15	8		
600196	2015-12-31	1	2	S5203	已授权		1		
600200	2015-12-31	1	1	S5203	已授权	26	23	2	1
600203	2015-12-31	1	1	S5201	已申请	41			
600203	2015-12-31	1	1	S5203	已授权	43	4	37	
600207	2015-12-31	1	1	S5201	已申请	12			
600207	2015-12-31	1	1	S5203	已授权		3	11	
600207	2015-12-31	1	1	S5206	截止报告期末累计已授权	70	25		
600210	2015-12-31	1	1	S5201	已申请	59	19	36	4
600210	2015-12-31	1	1	S5203	已授权	47	9	36	2
600216	2015-12-31	1	1	S5201	已申请		23		
600216	2015-12-31	1	2	S5201	已申请		10		
600226	2015-12-31	1	1	S5205	截止报告期末累计已被受理	68			
600226	2015-12-31	1	1	S5206	截止报告期末累计已授权	48			
600227	2015-12-31	1	1	S5201	已申请	4	1		
600227	2015-12-31	1	1	S5203	已授权	3	2		
600235	2015-12-31	1	1	S5203	已授权	8	2	3	3
600261	2015-12-31	1	1	S5203	已授权	337	62	123	
600261	2015-12-31	1	2	S5202	已获得	2			
600267	2015-12-31	1	1	S5201	已申请	40	39		
600267	2015-12-31	1	1	S5202	已获得		211		
600268	2015-12-31	1	1	S5201	已申请	242	110		
600268	2015-12-31	1	1	S5203	已授权	161	40		
600271	2015-12-31	1	1	S5201	已申请	363	246		
600271	2015-12-31	1	1	S5203	已授权	126	21		
600273	2015-12-31	1	1	S5205	截止报告期末累计已被受理	29			
600273	2015-12-31	1	1	S5206	截止报告期末累计已授权	25	11		
600282	2015-12-31	1	1	S5204	截至报告期末累计获得	660	270		
600284	2015-12-31	1	1	S5202	已获得		7	8	
002536	2015-12-31	1	1	S5204	截至报告期末累计获得	154	32	119	3
002536	2015-12-31	1	1	S5202	已获得	72	11	59	2
002536	2015-12-31	1	1	S5201	已申请	113	33	78	2
002537	2015-12-31	1	1	S5202	已获得		1	2	
002537	2015-12-31	1	1	S5204	截至报告期末累计获得		9	67	
002537	2015-12-31	1	1	S5201	已申请			1	
002538	2015-12-31	1	1	S5201	已申请		11	7	
002538	2015-12-31	1	1	S5202	已获得		14	7	
002538	2015-12-31	1	1	S5204	截至报告期末累计获得	68	19	34	15
002539	2015-12-31	1	1	S5201	已申请	37	13	12	12
002539	2015-12-31	1	1	S5202	已获得	22	0	12	10
002539	2015-12-31	1	1	S5204	截至报告期末累计获得	98	9	67	22
